waterbody,site,recorded_site,date,latitude,longitude,survey_area,sample_id,sample_method,sample_unit_m2,live_oly_count,dead_oly_count,notes
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,1,Random,1.5,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,2,Random,2.25,14,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,3,Random,1.75,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,4,Random,3,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,5,Random,2,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,6,Random,3,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,7,Random,3.25,11,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,8,Random,1.25,11,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,9,Random,3.5,11,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,1,Random,0.0625,37,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,2,Random,0.0625,13,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,3,Random,0.0625,12,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,4,Random,0.0625,41,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,5,Random,0.0625,35,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,6,Random,0.0625,7,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,7,Random,0.0625,0,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,8,Random,0.0625,2,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,9,Random,0.0625,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,10,Random,0.0625,0,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,11,Random,0.0625,54,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,12,Random,0.0625,6,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,1,Random,3.5,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,2,Random,3,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,3,Random,3.75,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,4,Random,4.5,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,5,Random,4.75,11,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,6,Random,1.75,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,1,Random,0.25,0,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,2,Random,0.25,27,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,3,Random,0.25,5,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,4,Random,0.25,0,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,5,Random,0.25,8,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,6,Random,0.25,31,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,7,Random,0.25,0,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,8,Random,0.25,23,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,9,Random,0.25,13,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,10,Random,0.25,22,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,11,Random,0.25,7,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,12,Random,0.25,30,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,13,Random,0.25,43,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,14,Random,0.25,17,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,15,Random,0.25,45,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,16,Random,0.25,2,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,17,Random,0.25,27,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,18,Random,0.25,28,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,19,Random,0.25,7,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,20,Random,0.25,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,21,Random,0.25,14,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,22,Random,0.25,7,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,23,Random,0.25,5,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,24,Random,0.25,4,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,25,Random,0.25,42,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,26,Random,0.25,1,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,27,Random,0.25,14,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,28,Random,0.25,0,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,3,Random,0.5,13,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,23,Random,1.5,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,13,Random,2.25,4,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,30,Random,1,2,NA,flooded
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,22,Random,0.5,2,NA,flooded
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,17,Random,2.5,0,NA,flooded
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,7,Random,1.25,10,NA,flooded after first flip
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,54,Random,1,8,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,35,Random,4,7,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,21,Random,3,2,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,20,Random,3,0,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,2,Random,3,1,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,27,Random,3,1,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,52,Random,0.25,121,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,1,Random,0.75,11,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,26,Random,0.25,228,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,34,Random,0.25,15,NA,high mortality
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,24,Random,1,3,NA,"flooded, murky"
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,28,Random,1,2,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57607527,-122.6736859,Project,1,Haphazard,0.5,19,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57600728,-122.6737591,Project,2,Haphazard,0.25,39,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57594855,-122.6738013,Project,3,Haphazard,0.25,52,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,NA,NA,Project,4,Haphazard,0.25,21,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57595318,-122.6736204,Project,5,Haphazard,0.25,17,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57608036,-122.6734315,Project,6,Haphazard,0.5,14,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57585355,-122.6736202,Project,7,Haphazard,0.25,78,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57595411,-122.6734211,Project,8,Haphazard,0.25,57,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57581063,-122.6735416,Project,9,Haphazard,0.5,20,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57604678,-122.6732681,Project,10,Haphazard,0.5,11,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57584182,-122.6734449,Project,11,Haphazard,0.25,84,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57588536,-122.6731782,Project,12,Haphazard,0.5,15,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57583311,-122.6733075,Project,13,Haphazard,0.25,51,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57594683,-122.6730653,Project,14,Haphazard,1,11,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57580758,-122.673206,Project,15,Haphazard,0.25,14,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57586332,-122.6729556,Project,16,Haphazard,2,10,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57580503,-122.6728512,Project,17,Haphazard,5.5,10,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.5756763,-122.6726945,Project,18,Haphazard,0.5,10,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57561976,-122.6725691,Project,19,Haphazard,1.75,11,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57552184,-122.672561,Project,20,Haphazard,0.75,11,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57544045,-122.6726467,Project,21,Haphazard,0.5,15,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57541112,-122.6727283,Project,22,Haphazard,0.25,23,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57549394,-122.6723916,Project,23,Haphazard,0.75,16,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.5751928,-122.6725742,Project,24,Haphazard,0.25,25,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57509927,-122.6725539,Project,25,Haphazard,0.25,15,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57499768,-122.6725638,Project,26,Haphazard,2.5,12,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57490055,-122.6724819,Project,27,Haphazard,2.25,11,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57497784,-122.6723807,Project,28,Haphazard,2.75,11,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57511606,-122.6723451,Project,29,Haphazard,1.75,12,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57527892,-122.6723107,Project,30,Haphazard,2,12,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57534477,-122.672458,Project,31,Haphazard,0.25,13,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57535999,-122.6725594,Project,32,Haphazard,0.25,16,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57542671,-122.6725239,Project,33,Haphazard,0.25,26,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57551365,-122.6724734,Project,34,Haphazard,0.25,12,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57557982,-122.6726096,Project,35,Haphazard,0.25,10,NA,NA
Dyes Inlet,Oyster Bay,Oyster Bay,2020-07-23,47.57558865,-122.6727237,Project,36,Haphazard,0.25,17,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,1,Haphazard,0.0625,45,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,2,Haphazard,0.0625,32,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,3,Haphazard,0.0625,30,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,4,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,5,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,6,Haphazard,0.0625,2,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,7,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,8,Haphazard,0.0625,4,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,9,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,10,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,11,Haphazard,0.0625,9,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,12,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,13,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,14,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,15,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,16,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,17,Haphazard,0.0625,1,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,18,Haphazard,0.0625,2,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,19,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,20,Haphazard,0.0625,18,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,21,Haphazard,0.0625,1,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,22,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,23,Haphazard,0.0625,1,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,24,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,25,Haphazard,0.0625,35,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,26,Haphazard,0.0625,1,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,27,Haphazard,0.0625,1,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,28,Haphazard,0.0625,33,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,29,Haphazard,0.0625,46,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,30,Haphazard,0.0625,60,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,31,Haphazard,0.0625,32,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,32,Haphazard,0.0625,25,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,33,Haphazard,0.0625,2,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,34,Haphazard,0.0625,21,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,35,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,36,Haphazard,0.0625,18,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,37,Haphazard,0.0625,4,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,38,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,39,Haphazard,0.0625,1,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,40,Haphazard,0.0625,14,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,41,Haphazard,0.0625,4,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,42,Haphazard,0.0625,9,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,43,Haphazard,0.0625,31,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,44,Haphazard,0.0625,1,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,45,Haphazard,0.0625,4,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,46,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,47,Haphazard,0.0625,1,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,48,Haphazard,0.0625,2,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,49,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,50,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,51,Haphazard,0.0625,3,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,52,Haphazard,0.0625,1,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,53,Haphazard,0.0625,1,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,54,Haphazard,0.0625,1,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,55,Haphazard,0.0625,1,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,56,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,57,Haphazard,0.0625,31,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,58,Haphazard,0.0625,31,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,59,Haphazard,0.0625,12,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,60,Haphazard,0.0625,3,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,61,Haphazard,0.0625,26,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,62,Haphazard,0.0625,40,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,63,Haphazard,0.0625,15,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,64,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,65,Haphazard,0.0625,1,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,66,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,67,Haphazard,0.0625,10,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,68,Haphazard,0.0625,1,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,69,Haphazard,0.0625,16,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,70,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Mud Bay,Mud Bay,2014-06-26,NA,NA,Reference,71,Haphazard,0.0625,0,NA,NA
Dyes Inlet,Silverdale,Barker Creek,2022-06-15,NA,NA,Reference,T1_2.5,Transect,0.25,0,0,"Sample ID here is Transect #_Distance on transect tape. Quadrat size is 0.25m^2. Site is North of Barker Creek, around Dave's pier."
Dyes Inlet,Silverdale,Barker Creek,2022-06-15,NA,NA,Reference,T1_7.5,Transect,0.25,1,1,Transect 1 is characterized by an abundance of relic sand dollars.
Dyes Inlet,Silverdale,Barker Creek,2022-06-15,NA,NA,Reference,T1_12.5,Transect,0.25,3,0,NA
Dyes Inlet,Silverdale,Barker Creek,2022-06-15,NA,NA,Reference,T1_17.5,Transect,0.25,2,0,NA
Dyes Inlet,Silverdale,Barker Creek,2022-06-15,NA,NA,Reference,T1_22.5,Transect,0.25,1,0,NA
Dyes Inlet,Silverdale,Barker Creek,2022-06-15,NA,NA,Reference,T1_27.5,Transect,0.25,1,0,NA
Dyes Inlet,Silverdale,Barker Creek,2022-06-15,NA,NA,Reference,T1_32.5,Transect,0.25,2,0,NA
Dyes Inlet,Silverdale,Barker Creek,2022-06-15,NA,NA,Reference,T1_37.5,Transect,0.25,1,0,NA
Dyes Inlet,Silverdale,Barker Creek,2022-06-15,NA,NA,Reference,T1_42.5,Transect,0.25,2,1,NA
